episode,reinforce_no_baseline,reinforce_baseline_20
1,3.5072563431784305,4.284393609517667
2,6.204087785883174,2.40025492589875
3,6.144669191462957,4.756953004907366
4,3.602088945707557,3.0317131416468275
5,8.766564643345154,3.1186540698971523
6,5.221373341828117,3.0756819739451373
7,3.999985513295783,2.0084804534790943
8,3.8518058007891556,2.4872099438767545
9,3.9166965836309937,3.2080874420484875
10,4.368450419610187,1.513320660842528
11,3.545143749981193,4.438290201622703
12,3.844483588238296,3.180488075933577
13,5.021989764054033,1.9161076088022138
14,3.5892552395621586,2.2854376264086103
15,3.7903476284829343,3.9749129146284146
16,3.777340479627617,2.658202580070732
17,3.3033759608331428,3.8329683743198784
18,4.092978184947294,3.8100641337750982
19,4.018498724542571,2.2265385730589635
20,3.2485973876194705,2.6388878775127926
21,52.98821986484994,2.420363588569006
22,3.067554635431473,2.474080635084979
23,6.148953386595853,2.657020912490514
24,3.8242744933996557,3.168482529563078
25,4.709232220056273,2.65031298557148
26,6.337788594513322,2.6267673269272365
27,49.22315288326377,2.4862968880620278
28,3.6076747787709698,2.2985409655867177
29,3.7402496946701964,2.424783449272315
30,4.874472334881717,4.1218358675120665
31,4.270216757363303,2.9929266979317015
32,6.181210091657044,1.9473494883159623
33,4.064494252882829,4.93553468009058
34,3.4099797785460066,3.788332009398981
35,4.137015851866769,3.445293048819442
36,47.94452088343627,2.404829840875718
37,3.913705826617409,2.5771876538980703
38,3.0276197855090725,2.6047573668429327
39,4.115069297677682,3.403332771324847
40,4.856320782720574,4.393690528392304
41,4.4860447931370695,2.6353328657574995
42,3.426155994678616,2.0625315575711505
43,4.944404539885981,2.348979388844353
44,3.464230154950287,4.8093387235552205
45,5.199414139504805,2.8079002009944785
46,4.209800635037766,1.8662687334502635
47,5.071951135477614,3.932690442570533
48,43.691358062232595,2.800519744866829
49,3.8238740109915375,4.186356754942028
50,3.5090418070775966,4.316804630484685
51,5.93838287114682,2.648301938679108
52,3.9910996499049225,2.3435822198017124
53,3.738620301311646,2.334852375229317
54,4.438840949378574,2.457823245189016
55,3.5092020769503702,4.086795300972405
56,4.7191231853956355,3.3827866469623595
57,46.887007062381066,4.366338626918699
58,6.348680853021069,2.7286765987661132
59,4.208853217604197,3.228264978353363
60,4.681732083876892,2.151950872440133
61,4.750591563844044,2.541606934111263
62,4.199625030869548,2.7056138026484122
63,3.5783961722422735,4.032827656954737
64,3.766337235764871,2.449493639086824
65,7.710195849891277,2.436226591458085
66,4.124702127113192,2.5754832187836625
67,4.732829266335596,2.662757602820921
68,3.8139497606873443,2.677699564035983
69,38.17200019507205,3.198114803495253
70,3.5974712798922006,3.262589758647549
71,4.448067353287509,3.8700591488822047
72,3.588609432019142,2.5043022664338785
73,4.972267308636876,2.9351955557429568
