episode,actor_critic
1,12.279180665324908
2,10.729662967917474
3,24.247988188887604
4,16.687303769571972
5,11.059102466879215
6,8.713672911602295
7,20.72269464366688
8,211.3890211994336
9,28.041245914568954
10,63.39282215974187
11,72.62641550787154
12,12.653541640317625
13,12.315080017460078
14,25.296597807263566
15,89.12864294986503
16,14.983311981870022
17,15.058532309244532
18,28.69780701083957
19,13.165418511250834
20,16.56649140989516
21,10.59344964076656
22,23.946224743608752
23,19.97436643250219
24,13.642026813870757
25,27.36589272640156
26,10.003116533691614
27,11.636461754734045
28,23.98999361638361
29,11.966301716505162
30,13.26866285742658
31,8.180399612759766
32,9.334575886037882
33,6.639740896730354
34,16.846989402139698
35,16.581053553601947
36,13.931435169606566
37,8.315352001425847
38,7.314332128428575
39,8.519540756259527
40,10.521515591226253
41,10.587020868825924
42,8.95069460563735
43,8.933246508116657
44,8.61930849862764
45,8.916294157285952
46,10.586914786392363
47,12.006843359499422
48,18.167256975770147
49,5.992676997406722
50,11.205370543557068
51,5.690470086025812
52,7.074929639465765
53,6.4998439637809495
54,7.044031330267256
55,9.337531542318864
56,7.139716867615864
57,7.027686680481939
58,8.790953983822277
59,7.459746354500018
60,6.1820877449288725
61,5.866068760510226
62,7.556107845297218
63,11.273561193231739
64,6.125081732284967
65,6.453432298534452
66,8.329150603360045
67,5.879121850704466
68,7.004985424739186
69,5.5251183684458995
70,6.101354485576332
71,5.708011307778188
72,7.348626745890802
73,5.747578373560927
74,5.633620316751794
75,5.775938862971169
76,5.868781705066353
77,5.958277745006398
78,5.870888209846669
79,5.808438654206541
80,7.824441338303638
81,5.7180004108275755
82,6.067388738171857
83,7.11300427774479
84,5.950593662855997
85,8.615406854623492
86,6.837184292692562
87,5.672459884614886
88,6.908295605823191
89,8.820487547272819
90,6.084000014872283
91,7.3442394740861845
92,6.060322350843303
93,5.573393052016027
94,5.642665625250915
95,6.1424131733304925
96,5.886245558549623
97,6.069384128066125
98,7.377336449115875
99,6.192001374796089
100,6.0024859201160385
101,5.676462922024623
102,5.9695574855040645
103,7.449429391939751
104,5.938961464727734
105,5.669921263372979
106,6.023963048399232
107,5.785292094407791
108,6.613088843945164
109,5.554582109022853
110,7.213451326838931
111,5.87726841036079
112,6.023425768825779
113,5.937140300464228
114,5.790450805479435
115,7.481505154282279
116,7.336313097978153
117,5.861293887246625
118,5.839764198283843
119,5.923101948251125
120,5.938722178878182
121,5.893645569327251
122,5.806232100038033
123,7.306548445570237
124,7.55525682602352
125,5.638529007826818
126,5.966146017215483
127,6.0846926894919
128,5.827662443187699
129,7.6062447518017136
130,6.223304903112153
131,6.710887317223887
132,5.851582760378233
133,6.117355414635762
134,5.505395247726911
135,7.1233159192152
136,5.8183108425721
137,5.876193678399034
138,5.705428356831334
139,8.555421521916218
140,6.234152893549436
141,7.212978183382673
142,5.910464277765165
143,6.00544181073303
144,5.864705134514129
145,6.001349444434714
146,5.948819318350238
147,5.7777512282453385
148,5.778150445161453
149,5.7768080568095375
150,5.8082324364883995
151,7.169542592612401
152,5.913093245108757
153,6.188115823108649
154,5.7874307449657
155,5.738441896478509
156,5.749636163091815
157,5.748698548122133
158,5.944915252446489
159,7.167637979687494
160,7.0379424181034285
161,5.696010447954563
162,5.808480562538417
163,7.351584168416674
164,7.265148571881203
165,5.874687014094132
166,7.199725451752504
167,6.078249874060953
168,5.9861345470590095
169,5.957561374573287
170,5.868335529352778
171,8.336824555062723
172,6.207311259949445
173,5.699022239667782
174,5.819146157320753
175,5.810738282036961
176,7.36903329483558
177,7.359134602172892
178,5.879690192123892
179,5.750043283955606
180,8.874822534818053
181,5.896359774607382
182,6.079591110450671
183,5.938268161384618
184,8.750391881536045
185,5.899593011343191
186,5.901547701941522
187,7.445055657139076
188,5.885868803149943
189,8.51275274820561
190,6.468714170200393
191,7.288340163150237
192,5.843508151971605
193,6.274211239464353
194,6.154469879217658
195,6.658792977884487
196,6.015583376569569
197,5.893219887970322
198,7.278973142508493
199,7.170476237816816
200,6.0219433610897015
201,7.227416031166099
202,5.935743963807213
203,7.166418132333043
204,5.733231935558192
205,5.905209660346921
206,5.581128924525596
207,6.530095825697666
208,6.914848412182014
209,5.932594406356297
210,7.2411197445492945
211,10.197210420815997
212,5.862617925221838
213,7.414919243616106
214,5.715514625039892
215,8.697962087193849
216,5.963508027794546
217,7.243669354327633
218,7.759898833064571
219,7.2926923747705565
220,6.998184296672404
221,5.673997405275862
222,6.01434965418985
223,8.278276694857826
224,5.892188177877206
225,5.785015942658252
226,7.2208343891391875
227,6.930435918894779
228,5.865583719661766
229,8.178474816908242
230,9.230692491411517
231,6.880413872924565
232,7.718890279480106
233,10.216551493123358
234,5.774621196169629
235,5.711540347024217
236,5.714993660474384
237,6.567227140465855
238,7.455817923837336
239,5.783497816963135
240,5.844094383683073
241,7.135039085878665
242,5.891037298437724
243,8.92003968319012
244,7.261008379304614
245,5.464548328654203
246,8.286521629117258
247,7.529277168178023
248,7.501338667343245
249,10.295886534950348
250,5.652938510998054
251,8.696334128935678
252,5.715136035042645
253,7.3571289287716075
254,7.251977549042288
255,7.04425449260747
256,5.931932345984315
257,9.703413987217324
258,10.236346108685925
259,10.149769574115174
260,12.217667572024776
261,13.398170906415395
262,5.93308936253427
263,6.698574100732863
264,9.489797966872747
265,7.120776734285942
266,7.287220639145243
267,7.2903560952126805
268,7.040996557862733
269,7.49765812333411
270,8.531173380388914
271,7.80751249399119
272,8.17933312638917
273,9.987129792858163
274,8.535977728988264
275,7.857195631483191
276,7.471154662480067
277,6.599330095383814
278,10.814768492162786
279,7.595115680397781
280,12.4109793609471
281,11.640059227338428
282,16.954350961258054
283,8.514253246465792
284,8.884432861193975
285,10.924776185366046
286,5.790136534765183
287,13.81090526087873
288,10.787839580118995
289,14.905597259984528
290,14.219199612937675
291,8.669549195217165
292,9.581080295555266
293,12.605411106850946
294,18.66923012710284
295,9.502034974321083
296,5.860587528132747
297,11.381176085613882
298,11.056294104562674
299,16.41185685605688
300,11.097262853861377
