episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
28,8.425045918599299,-0.10019968297946032,4.494493790892158,-0.019890909221431455,3.982735584534778,-0.024007874697386637,3.9974263906153977,-0.0239086188967443,17.18452922389489,0.033733309972570895
29,7.885174641379498,-0.22421000621597942,2.4577181210532713,-0.03618875326346165,3.570649618237005,-0.019342030557880512,4.136487396647873,-0.022759685217457273,28.58323071409074,0.07704858215815284
30,7.553794782620703,-0.07520830920329065,7.353570418733173,-0.03695289768341928,3.903812862272755,-0.024643832128558994,4.0729198195963985,-0.023299930040335745,29.019242575683137,0.08054182488853091
31,9.648497886137624,-0.11434737659393579,2.792588688665372,-0.025523045606186054,4.279792971134294,-0.02164785318660649,5.575497579277168,-0.027220515220160404,13.115316339871008,0.01715589113538042
32,7.442697933062233,-0.21978450196374005,2.5502178812596785,-0.035459275398513804,3.4326331247040174,-0.02040999488643921,3.7971435718774544,-0.017514330169487197,42.4303361630271,0.10005179531179283
33,7.6682757472884955,-0.2259441170102022,3.0442497216403965,-0.03148517903237305,3.2965588550263485,-0.021508733629470003,2.774814287971569,-0.025686195161254307,38.39146350237336,0.09964382663127631
34,7.4483506367941805,-0.23568526397646258,1.9203536171376565,-0.04048156473870289,3.2067180921100142,-0.022221483931332775,2.9078781450848763,-0.024622034207454534,44.81779614989778,0.10318574263301072
35,7.592491428255961,-0.22655693967247065,2.7461987468036964,-0.02589164409157995,3.9342334421727463,-0.01639513537513939,2.8603097762973664,-0.025017137918542577,40.95064602428397,0.09617855326697977
36,7.611460761326136,-0.21843415004048683,12.711395886134357,-0.01805162422493099,3.108134758370617,-0.023016060761312653,6.643111872369816,-0.026705351641219694,45.52736722745868,0.11681660184879093
37,7.820682038623113,-0.2167916592000483,6.043584525806876,-0.039410940221920245,3.0882815424908943,-0.023182825717361973,2.6852455023898996,-0.026397123114288393,40.203858959709876,0.09020682640866654
38,6.881832800652861,-0.24024844570520498,4.01937203597425,-0.03964757949643147,3.1239907774324918,-0.022878186935905057,2.8110137401568536,-0.025396716532907766,44.85464330801055,0.11946271042702099
39,1.629882437807829,-0.05876604946817946,3.571788465992422,-0.027266720817440263,4.3679806605088825,-0.020938095805618676,3.908536557816422,-0.024577658940132807,43.47349039034893,0.11641074428215425
40,1.6327109574490375,-0.06672043572679076,3.691813159491938,-0.02632672957828584,3.1630558155339688,-0.022585319447865702,3.89550396285564,-0.024717263370664096,42.15739156777889,0.10589646337566619
41,7.218481553187558,-0.14177298319824067,2.613704697064765,-0.02695010490471357,3.0464096247703125,-0.023509115857481725,3.0330296115069357,-0.02362480997912982,41.391175573583936,0.10770561863038133
42,7.861099912520449,-0.1286309424419705,2.6710867909484177,-0.026507167174106384,3.508119830977201,-0.01980570618525124,3.7560994954423177,-0.025813229551064118,43.792772497924794,0.12694800048281854
43,5.836086058980998,-0.08098540857977252,14.63801465567343,-0.018546634599018688,3.1519856514632036,-0.02266539392781311,3.53521238740733,-0.019618948569579863,39.94305981140519,0.10412009074919895
44,3.3192965196360182,-0.0692056743116466,7.397570798367599,-0.02859930583786695,4.054900937923715,-0.02341282627766192,3.548846379599328,-0.02750617730934338,38.77830323882308,0.10279686462270475
45,3.112996536635179,-0.07881527556401238,66.89292422185005,0.2079872401397755,3.6122970046218565,-0.01898542043938928,6.474950486491619,-0.028034700110828883,40.72405594745136,0.11038313529132669
46,5.361581071991349,-0.07680040128502351,66.6614314043151,0.20612475393742466,4.570582606506555,-0.01929011699237657,20.36738469692945,-0.004726149736413994,39.245815623276016,0.10652837342351743
47,2.0932481706802593,-0.06304893317360516,64.86212203226424,0.19972547170908744,4.368720676745131,-0.020911381709375756,4.640410941108249,-0.018750817725307282,38.426725423230586,0.09997943611251404
48,2.4297358852326747,-0.07629357600903519,60.07657098404083,0.18538166453675534,7.363559777629692,-0.020913587981126157,10.16168797089914,-0.02244897495824025,3.3826585452851763,-0.044780814258339324
49,1.7301217702244192,-0.06593392073185089,60.07658066542574,0.1853861405454977,3.9961170311908285,-0.01590091802713047,7.41978383624932,-0.020463714907615914,40.5368338621027,0.10887775162916716
50,2.7624424658562043,-0.06568130687654392,61.427096557222804,0.1882013304907719,8.092701077636145,-0.015058687331707784,8.169596208490116,-0.02244246515053764,39.379799567336896,0.10760910511108286
51,5.245125444613046,-0.10167459619742915,53.88837388995263,0.16777358599114203,4.787687327099725,-0.01757803310240996,36.255606044456044,0.034619078500149045,42.200291098998754,0.1221713199046991
52,6.745055449705075,-0.11362199158779183,59.136567112120545,0.1858109671662058,4.907044569215943,-0.01660501482517107,13.476908897288192,-0.019879496585785923,42.72414611013225,0.11839887197363312
53,5.795835023346643,-0.0893060080103628,53.93112515526218,0.16814716504138325,6.373543666651974,-0.020838165970395957,39.94883948583716,0.04017895122109366,39.58757364181204,0.10131162591771475
54,4.743287703255371,-0.0737641967298225,55.337222081944645,0.17138826501691584,4.788202336591982,-0.017560641936918076,16.069100990464413,-0.00715504791887502,41.01528652238961,0.10473036734391185
55,2.1529875200934616,-0.06257776422409422,56.86174966782969,0.17561135958819724,5.075673885789614,-0.01527205822303215,148.89718495311712,0.34502186235089083,39.643520727259684,0.1017673169964375
56,6.001341020238207,-0.07965615081110154,55.422190338414566,0.17211635753855437,3.9618095270488234,-0.01618122174541666,46.05684778821396,0.07309924754237555,40.28428862342519,0.10686134562184685
57,1.343297802705255,-0.06905478487762859,57.06129337459628,0.17722591082237754,4.802797965055323,-0.01743273499961204,109.49831406329285,0.1815487366045486,38.50816187608132,0.10064517153548305
58,2.562960846566465,-0.05927983156471804,58.72891738883954,0.1825820293229663,11.433350491951632,-0.020305642939005476,3.784767924146093,-0.025608125019898124,40.84123556007556,0.11132182763017112
59,2.7939295565179365,-0.05746528221679419,58.773379162907915,0.18294851579284918,4.164861168000238,-0.022535361071800104,222.36056695033932,0.5177204257167836,3.5459871762776567,-0.0434778905956076
60,5.301622159851608,-0.08527950658692507,58.92930964283718,0.18420450847852807,5.935511013051867,-0.016354822690796862,142.6198079696042,0.3348176082566118,43.644116485270295,0.1257614400551514
61,6.562576846070667,-0.08322564901012117,58.49438089658492,0.1806911949216265,7.781690853283043,-0.01753453918707184,176.53635045151447,0.5741530405439167,39.5873177949805,0.10926018815566611
62,3.3211506666431987,-0.05323217558440354,65.51615646475685,0.20499896839476692,4.930291582441308,-0.016406137782287774,129.16409916711615,0.4746110954476012,40.239552245840436,0.10654441683185102
63,3.1692461142206714,-0.04647845451190907,60.134931500775565,0.1858053041809634,6.497367085737637,-0.019840461135525293,142.8803403450806,0.5364458824424415,42.444855194275874,0.11615026694158948
